source_id,ra,dec,phot_g_mean_mag,parallax,teff_gspphot,mh_gspphot
3602808439802777600,180.3231802887862,-0.37534354385969265,20.417982,,,
3602838611945756928,179.80371249202597,-0.45302131551855107,16.653751,0.42226590793572016,5542.2817,-0.7445
3602846476029634432,179.98069566129044,-0.4862584378410974,20.434011,-2.9367036220487206,,
3602847098801158400,180.07063833179515,-0.4732738302916292,14.054509,0.9427919988580118,5846.379,-0.9195
3602847476758282368,180.14661901294937,-0.44465263206284816,16.513006,0.7500742340656531,5185.716,-1.496
3602848262738034560,180.05842305391354,-0.4248520811319055,18.775816,0.39365176666119084,,
3602849503982842752,179.96778714732469,-0.4692573671618813,17.453558,1.1468706448702166,3616.1396,-0.7688
3602849538342580608,179.94563680326044,-0.4724721837053251,11.8253355,0.5227302188725715,4522.6616,-0.4665
3602849602765838080,179.979291101997,-0.4572424325170831,20.318329,0.8913968133977331,,
3602849671485320192,179.97171360164887,-0.4428386917670513,20.503561,0.029522183567242455,,
3602849675781535232,179.9642099410289,-0.44752986100304704,16.80897,0.19691414730001197,5227.51,-1.6237
3602850118163329664,179.86906436663017,-0.45455286460675687,20.45669,3.8683109857209104,,
3602852458919067392,179.97617333830968,-0.36648117499024896,20.53094,1.029884239829412,,
3602852729502068992,179.9483855689901,-0.3466572084107353,18.628439,1.0175468219415298,3574.8628,-0.5382
3602852832581282816,179.98448646665418,-0.3498358807391022,17.39645,0.004153487660127726,4943.924,-2.0684
3602852970020673664,180.00914382276534,-0.33482603438867203,20.30405,0.10739869589773748,,
3602853210540215296,180.01101876645262,-0.31496054076718566,21.184393,,,
3602853657215408000,180.1463120864317,-0.41414095661359634,20.493002,-3.5546512484706714,,
3602853657215541376,180.15013966490739,-0.4116930194809835,21.024973,,,
3602854069532287360,180.23592360265533,-0.3723580531767169,17.560944,0.39982840561612376,5450.689,-0.6721
3602855997973443840,180.25772409798503,-0.31677174606399033,18.260468,1.1551839715144314,3653.9531,-1.5826
