ra,dec,objid,run,rerun,camcol,field,z,plate,mjd,fiberID,specobjid,run2d
179.995204467694,-0.0147730008874498,1237648721230758225,756,301,3,429,2.191792,3843,55278,38,4326843875908147200,v5_13_2
179.977536875718,-0.0314103306739987,1237648721230692771,756,301,3,428,5.553179,3843,55278,40,4326844425663961088,v5_13_2
180.0391748689,0.00880143890073872,1237674650465599512,6793,301,4,130,0.0003039924,2892,54552,395,3256211183732025344,26
180.0391748689,0.00880143890073872,1237674650465599512,6793,301,4,130,0.0003012931,2917,54556,277,3284326245877180416,26
