source_id,ra,dec,phot_g_mean_mag,parallax,pmra,pmdec,teff_gspphot,teff,log_teff,mass_est,log_mass,distance_pc,abs_mag_g,star_class,prob_white_dwarf,prob_neutron_star,prob_black_hole
34361129088,45.00432028915398,0.0210477637811747,17.571619,3.235017271512856,29.518344127131527,19.231654938806575,4461.456702972556,4461.456702972556,3.6494766826517604,0.9,-0.045757490560675115,309.1173604561159,10.121002018381715,sun_like,0.98,0.02,0.0
2821794351744,45.124152453120615,0.1367785252770154,18.006899,,,,4045.9002953368513,4045.9002953368513,3.607015176082199,0.9,-0.045757490560675115,,,sun_like,0.98,0.02,0.0
3332894779520,45.05816837835962,0.1274020094046792,12.511697,1.7728032801093985,6.436306603250439,-12.96689477029229,4533.6738800457615,4533.6738800457615,3.656450276886564,0.9,-0.045757490560675115,564.0783787010428,3.7549997329878817,sun_like,0.98,0.02,0.0
3470333738112,45.07550473214164,0.1523161438115683,20.571114,0.3663208905146861,-1.0723705332886275,-3.191010658175275,8817.140557527455,8817.140557527455,3.945327764107689,2.0,0.3010299956639812,2729.8470436534094,8.39042243138648,hot_star,0.98,0.02,0.0
5291399871104,44.92568847333067,0.1497236990398191,18.739752,0.4596270212901985,1.6518871346364072,-2.939053151231658,9714.074052132095,9714.074052132095,3.9874014098545136,2.0,0.3010299956639812,2175.6771331523214,7.051779763835224,hot_star,0.98,0.02,0.0
6219112811008,44.946848387382055,0.1814316205489566,18.956064,0.2435602653455075,-1.6155843739948257,-11.630459943189177,9758.780491625963,9758.780491625963,3.9893955493420497,2.0,0.3010299956639812,4105.760020344161,5.889096192613422,hot_star,0.98,0.02,0.0
6219113071360,44.93848719710849,0.1854569468602576,20.449587,0.8014638446887916,-1.4199077806929314,-4.852492226483029,5714.744298157018,5714.744298157018,3.7569968029931022,1.2,0.07918124604762482,1247.7169202664406,9.969006677079538,sun_like,0.98,0.02,0.0
8761733723008,45.0012715626452,0.2921140309606572,20.469542,0.7367606913158391,-4.924951572695783,0.3438649277193049,5789.316977638021,5789.316977638021,3.7626273287808947,1.2,0.07918124604762482,1357.2928249117376,9.806174233609365,sun_like,0.98,0.02,0.0
9247064872192,45.18324918948634,0.1999919975252331,19.375763,0.6967369082880345,6.8707699694798325,-4.443457461526621,7643.2027970536365,7643.2027970536365,3.8832753828707127,2.0,0.3010299956639812,1435.2619878529458,8.591107085264118,hot_star,0.98,0.02,0.0
9414568351232,45.20294106178244,0.2060573908144249,20.072811,-0.2402854847044484,3.9834497349086258,-2.395184207216545,7280.750530913991,7280.750530913991,3.8621761505539207,2.0,0.3010299956639812,-4161.716223641231,,hot_star,0.98,0.02,0.0
13778255268992,45.14235484909959,0.2779247402375435,16.716763,0.9184220468286912,16.474018971354713,-18.85409158997649,9722.434069554824,9722.434069554824,3.9877750067615785,2.0,0.3010299956639812,1088.8240362401982,6.53197450234441,hot_star,0.98,0.02,0.0
14809047427968,45.04558442972047,0.3220758546019499,19.977081,1.2039995923292377,3.440916622405435,-6.873261679948762,5717.094223589098,5717.094223589098,3.757175349892705,1.2,0.07918124604762482,830.5650652799778,10.380212699354905,sun_like,0.98,0.02,0.0
15736760367616,45.13718658525417,0.3385605887710074,18.349968,1.283017234979264,-1.13185135713649,-14.677026800415566,5093.231223352859,5093.231223352859,3.706993392796398,0.9,-0.045757490560675115,779.4127566931413,8.89113045181274,sun_like,0.98,0.02,0.0
17390323414400,45.14434940949074,0.4131447507463436,15.190617,2.0039088583629034,14.582461380949177,-7.096857764030728,7483.4626804118225,7483.4626804118225,3.874102597199229,2.0,0.3010299956639812,499.0246915805101,6.700006825471577,hot_star,0.98,0.02,0.0
17665201300224,44.8141899740521,0.1676245110319607,16.321474,1.0596956570536238,11.27915403102303,-3.652218975892041,9563.433003667305,9563.433003667305,3.980613819777694,2.0,0.3010299956639812,943.6671683456725,6.447379772358989,hot_star,0.98,0.02,0.0
18558554531072,44.87542075361269,0.2352599791171498,21.34613,,,,5735.166153300832,5735.166153300832,3.7585460043500025,1.2,0.07918124604762482,,,sun_like,0.98,0.02,0.0
23746874987008,44.739484058859006,0.3317775341614167,16.538525,0.7207441441574248,4.223173081104964,-5.035007438599023,9259.054651142116,9259.054651142116,3.9665666475079817,2.0,0.3010299956639812,1387.4549076899334,5.827430612772968,hot_star,0.98,0.02,0.0
24124832108544,44.722949238326194,0.360158850744755,16.699455,1.71318475507748,27.627084721669327,-7.118267254760628,6214.684345956738,6214.684345956738,3.793419075006537,1.2,0.07918124604762482,583.7082060392105,7.868476005673834,sun_like,0.98,0.02,0.0
24193551067008,44.82185804277247,0.3025260605541471,20.157434,0.8267372914012823,23.08911650503029,-12.566941360390324,3647.18296128106,3647.18296128106,3.561957550284359,0.6,-0.22184874961635637,1209.5740816348628,9.744271638329566,cool_star,0.98,0.02,0.0
24464133908608,44.801907955494144,0.3204191026992032,19.20783,0.5219423151713508,10.636343906531296,-1.6108089241196686,5716.495002785876,5716.495002785876,3.7571298281788557,1.2,0.07918124604762482,1915.9205355321794,7.795942538123381,sun_like,0.98,0.02,0.0
25357487115136,44.771892234809975,0.3543503008497498,18.475216,0.3108857361064729,7.174008200332742,-5.262749126360887,9968.689333160732,9968.689333160732,3.9986380617425468,2.0,0.3010299956639812,3216.6158940708606,5.938219982162586,hot_star,0.98,0.02,0.0
